component,method,feature_set,K,n,boot_J,boot_lo,boot_hi,boot_sd,pass_bootstrap,null_p95,above_null,init_J,pass_init,patient_max,pass_patient,interpret,n_boot,measure,scoring,pct_added
1,cnmf,concat_hg_all,10,233,0.755,0.736,0.774,0.095,True,0.429,True,0.822,True,0.14,True,True,100,hennig_bootstrap_jaccard_inbag,in-bag,37.8
2,cnmf,concat_hg_all,10,305,0.504,0.468,0.54,0.179,False,0.429,True,0.637,False,0.195,True,False,100,hennig_bootstrap_jaccard_inbag,in-bag,67.5
3,cnmf,concat_hg_all,10,240,0.625,0.607,0.644,0.093,True,0.429,True,0.723,False,0.174,True,False,100,hennig_bootstrap_jaccard_inbag,in-bag,55.0
4,cnmf,concat_hg_all,10,432,0.64,0.615,0.664,0.123,True,0.429,True,0.727,False,0.189,True,False,100,hennig_bootstrap_jaccard_inbag,in-bag,32.2
5,cnmf,concat_hg_all,10,175,0.699,0.659,0.738,0.198,True,0.429,True,0.812,True,0.305,True,True,100,hennig_bootstrap_jaccard_inbag,in-bag,65.7
6,cnmf,concat_hg_all,10,266,0.463,0.423,0.503,0.202,False,0.429,False,0.411,False,0.099,True,False,100,hennig_bootstrap_jaccard_inbag,in-bag,72.6
7,cnmf,concat_hg_all,10,282,0.623,0.6,0.646,0.117,False,0.429,True,0.726,False,0.075,True,False,100,hennig_bootstrap_jaccard_inbag,in-bag,57.1
8,cnmf,concat_hg_all,10,293,0.652,0.626,0.678,0.13,True,0.429,True,0.698,False,0.122,True,False,100,hennig_bootstrap_jaccard_inbag,in-bag,63.5
9,cnmf,concat_hg_all,10,381,0.612,0.58,0.644,0.162,False,0.429,True,0.755,True,0.172,True,False,100,hennig_bootstrap_jaccard_inbag,in-bag,66.7
0,kmeans,concat_hg,4,648,0.804,0.784,0.824,0.1,True,0.859,False,0.995,True,0.187,True,False,100,hennig_bootstrap_jaccard_inbag,in-bag,
1,kmeans,concat_hg,4,246,0.502,0.452,0.553,0.255,False,0.859,False,0.99,True,0.244,True,False,100,hennig_bootstrap_jaccard_inbag,in-bag,
2,kmeans,concat_hg,4,245,0.831,0.81,0.851,0.105,True,0.859,False,0.994,True,0.253,True,False,100,hennig_bootstrap_jaccard_inbag,in-bag,
3,kmeans,concat_hg,4,127,0.834,0.809,0.86,0.128,True,0.859,False,0.996,True,0.252,True,False,100,hennig_bootstrap_jaccard_inbag,in-bag,
0,kmeans,concat_hg,7,553,0.611,0.584,0.638,0.138,False,0.727,False,0.565,False,0.208,True,False,100,hennig_bootstrap_jaccard_inbag,in-bag,
1,kmeans,concat_hg,7,52,0.497,0.446,0.548,0.258,False,0.727,False,0.5,False,0.154,True,False,100,hennig_bootstrap_jaccard_inbag,in-bag,
2,kmeans,concat_hg,7,114,0.747,0.711,0.782,0.178,True,0.727,False,0.658,False,0.281,True,False,100,hennig_bootstrap_jaccard_inbag,in-bag,
3,kmeans,concat_hg,7,76,0.504,0.469,0.54,0.181,False,0.727,False,0.452,False,0.434,True,False,100,hennig_bootstrap_jaccard_inbag,in-bag,
4,kmeans,concat_hg,7,51,0.645,0.579,0.711,0.332,False,0.727,False,0.778,True,0.843,False,False,100,hennig_bootstrap_jaccard_inbag,in-bag,
5,kmeans,concat_hg,7,271,0.466,0.433,0.499,0.167,False,0.727,False,0.481,False,0.258,True,False,100,hennig_bootstrap_jaccard_inbag,in-bag,
6,kmeans,concat_hg,7,149,0.466,0.425,0.507,0.209,False,0.727,False,0.58,False,0.174,True,False,100,hennig_bootstrap_jaccard_inbag,in-bag,
0,kmeans,concat_hg,10,288,0.58,0.552,0.607,0.138,False,0.61,False,0.669,False,0.188,True,False,100,hennig_bootstrap_jaccard_inbag,in-bag,
1,kmeans,concat_hg,10,50,0.889,0.863,0.916,0.134,True,0.61,True,0.996,True,0.84,False,False,100,hennig_bootstrap_jaccard_inbag,in-bag,
2,kmeans,concat_hg,10,99,0.63,0.596,0.665,0.175,False,0.61,False,0.734,False,0.303,True,False,100,hennig_bootstrap_jaccard_inbag,in-bag,
3,kmeans,concat_hg,10,299,0.475,0.45,0.5,0.126,False,0.61,False,0.53,False,0.211,True,False,100,hennig_bootstrap_jaccard_inbag,in-bag,
4,kmeans,concat_hg,10,48,0.734,0.692,0.776,0.211,True,0.61,True,0.849,True,0.167,True,True,100,hennig_bootstrap_jaccard_inbag,in-bag,
5,kmeans,concat_hg,10,222,0.565,0.536,0.594,0.146,False,0.61,False,0.643,False,0.239,True,False,100,hennig_bootstrap_jaccard_inbag,in-bag,
6,kmeans,concat_hg,10,13,0.411,0.355,0.468,0.285,False,0.61,False,0.7,False,0.692,False,False,100,hennig_bootstrap_jaccard_inbag,in-bag,
7,kmeans,concat_hg,10,73,0.748,0.712,0.784,0.18,True,0.61,True,0.901,True,0.425,True,True,100,hennig_bootstrap_jaccard_inbag,in-bag,
8,kmeans,concat_hg,10,161,0.591,0.563,0.619,0.141,False,0.61,False,0.684,False,0.23,True,False,100,hennig_bootstrap_jaccard_inbag,in-bag,
9,kmeans,concat_hg,10,13,0.322,0.268,0.376,0.272,False,0.61,False,0.669,False,0.462,True,False,100,hennig_bootstrap_jaccard_inbag,in-bag,
0,kmeans,concat_hg_all,4,290,0.845,0.823,0.866,0.108,True,0.834,False,0.986,True,0.259,True,False,100,hennig_bootstrap_jaccard_inbag,in-bag,4.5
1,kmeans,concat_hg_all,4,231,0.782,0.75,0.814,0.161,True,0.834,False,0.968,True,0.312,True,False,100,hennig_bootstrap_jaccard_inbag,in-bag,45.0
2,kmeans,concat_hg_all,4,804,0.704,0.665,0.743,0.196,True,0.834,False,0.953,True,0.108,True,False,100,hennig_bootstrap_jaccard_inbag,in-bag,43.3
3,kmeans,concat_hg_all,4,1621,0.813,0.786,0.839,0.133,True,0.834,False,0.975,True,0.075,True,False,100,hennig_bootstrap_jaccard_inbag,in-bag,74.9
0,kmeans,concat_hg_all,7,564,0.657,0.625,0.688,0.161,True,0.747,False,0.818,True,0.152,True,False,100,hennig_bootstrap_jaccard_inbag,in-bag,45.6
1,kmeans,concat_hg_all,7,132,0.815,0.787,0.843,0.142,True,0.747,True,0.95,True,0.439,True,True,100,hennig_bootstrap_jaccard_inbag,in-bag,38.6
2,kmeans,concat_hg_all,7,193,0.616,0.585,0.646,0.154,False,0.747,False,0.76,True,0.228,True,False,100,hennig_bootstrap_jaccard_inbag,in-bag,0.0
3,kmeans,concat_hg_all,7,1111,0.779,0.749,0.808,0.149,True,0.747,True,0.934,True,0.112,True,True,100,hennig_bootstrap_jaccard_inbag,in-bag,70.9
4,kmeans,concat_hg_all,7,774,0.777,0.75,0.805,0.139,True,0.747,True,0.936,True,0.116,True,True,100,hennig_bootstrap_jaccard_inbag,in-bag,73.1
5,kmeans,concat_hg_all,7,54,0.347,0.29,0.404,0.285,False,0.747,False,0.591,False,0.13,True,False,100,hennig_bootstrap_jaccard_inbag,in-bag,0.0
6,kmeans,concat_hg_all,7,118,0.509,0.442,0.576,0.339,False,0.747,False,0.958,True,0.136,True,False,100,hennig_bootstrap_jaccard_inbag,in-bag,14.4
0,kmeans,concat_hg_all,10,643,0.72,0.693,0.747,0.135,True,0.596,True,0.788,True,0.132,True,True,100,hennig_bootstrap_jaccard_inbag,in-bag,72.8
1,kmeans,concat_hg_all,10,50,0.762,0.714,0.81,0.24,True,0.596,True,0.945,True,0.84,False,False,100,hennig_bootstrap_jaccard_inbag,in-bag,0.0
2,kmeans,concat_hg_all,10,42,0.613,0.551,0.675,0.314,False,0.596,False,0.853,True,0.19,True,False,100,hennig_bootstrap_jaccard_inbag,in-bag,0.0
3,kmeans,concat_hg_all,10,480,0.609,0.573,0.646,0.184,False,0.596,False,0.705,False,0.133,True,False,100,hennig_bootstrap_jaccard_inbag,in-bag,47.1
4,kmeans,concat_hg_all,10,67,0.541,0.502,0.58,0.199,False,0.596,False,0.656,False,0.418,True,False,100,hennig_bootstrap_jaccard_inbag,in-bag,0.0
5,kmeans,concat_hg_all,10,838,0.612,0.579,0.646,0.169,False,0.596,False,0.665,False,0.137,True,False,100,hennig_bootstrap_jaccard_inbag,in-bag,76.3
6,kmeans,concat_hg_all,10,436,0.572,0.533,0.611,0.197,False,0.596,False,0.61,False,0.195,True,False,100,hennig_bootstrap_jaccard_inbag,in-bag,62.6
7,kmeans,concat_hg_all,10,116,0.583,0.529,0.637,0.273,False,0.596,False,0.877,True,0.138,True,False,100,hennig_bootstrap_jaccard_inbag,in-bag,13.8
8,kmeans,concat_hg_all,10,122,0.751,0.724,0.778,0.137,True,0.596,True,0.706,False,0.475,True,False,100,hennig_bootstrap_jaccard_inbag,in-bag,37.7
9,kmeans,concat_hg_all,10,152,0.47,0.437,0.503,0.167,False,0.596,False,0.474,False,0.237,True,False,100,hennig_bootstrap_jaccard_inbag,in-bag,7.2
0,hierarchical,concat_hg,4,664,0.672,0.654,0.691,0.093,True,0.486,True,,True,0.193,True,True,100,hennig_bootstrap_jaccard_inbag,in-bag,
1,hierarchical,concat_hg,4,202,0.542,0.507,0.577,0.178,False,0.486,True,,True,0.173,True,False,100,hennig_bootstrap_jaccard_inbag,in-bag,
2,hierarchical,concat_hg,4,350,0.541,0.518,0.563,0.112,False,0.486,True,,True,0.277,True,False,100,hennig_bootstrap_jaccard_inbag,in-bag,
3,hierarchical,concat_hg,4,50,0.237,0.194,0.28,0.215,False,0.486,False,,True,0.18,True,False,100,hennig_bootstrap_jaccard_inbag,in-bag,
0,hierarchical,concat_hg,7,283,0.444,0.419,0.468,0.122,False,0.429,False,,True,0.343,True,False,100,hennig_bootstrap_jaccard_inbag,in-bag,
1,hierarchical,concat_hg,7,45,0.499,0.458,0.54,0.208,False,0.429,True,,True,0.644,False,False,100,hennig_bootstrap_jaccard_inbag,in-bag,
2,hierarchical,concat_hg,7,84,0.386,0.337,0.435,0.245,False,0.429,False,,True,0.238,True,False,100,hennig_bootstrap_jaccard_inbag,in-bag,
3,hierarchical,concat_hg,7,50,0.417,0.375,0.46,0.214,False,0.429,False,,True,0.18,True,False,100,hennig_bootstrap_jaccard_inbag,in-bag,
4,hierarchical,concat_hg,7,580,0.582,0.562,0.603,0.105,False,0.429,True,,True,0.21,True,False,100,hennig_bootstrap_jaccard_inbag,in-bag,
5,hierarchical,concat_hg,7,67,0.553,0.5,0.606,0.268,False,0.429,True,,True,0.791,False,False,100,hennig_bootstrap_jaccard_inbag,in-bag,
6,hierarchical,concat_hg,7,157,0.402,0.368,0.436,0.171,False,0.429,False,,True,0.223,True,False,100,hennig_bootstrap_jaccard_inbag,in-bag,
0,hierarchical,concat_hg,10,245,0.378,0.357,0.399,0.105,False,0.447,False,,True,0.351,True,False,100,hennig_bootstrap_jaccard_inbag,in-bag,
1,hierarchical,concat_hg,10,580,0.534,0.511,0.557,0.115,False,0.447,True,,True,0.21,True,False,100,hennig_bootstrap_jaccard_inbag,in-bag,
2,hierarchical,concat_hg,10,42,0.556,0.513,0.599,0.216,False,0.447,True,,True,0.69,False,False,100,hennig_bootstrap_jaccard_inbag,in-bag,
3,hierarchical,concat_hg,10,6,0.336,0.276,0.395,0.3,False,0.447,False,,True,1.0,False,False,100,hennig_bootstrap_jaccard_inbag,in-bag,
4,hierarchical,concat_hg,10,78,0.471,0.432,0.51,0.195,False,0.447,False,,True,0.256,True,False,100,hennig_bootstrap_jaccard_inbag,in-bag,
5,hierarchical,concat_hg,10,67,0.669,0.631,0.707,0.191,True,0.447,True,,True,0.791,False,False,100,hennig_bootstrap_jaccard_inbag,in-bag,
6,hierarchical,concat_hg,10,157,0.44,0.409,0.471,0.156,False,0.447,False,,True,0.223,True,False,100,hennig_bootstrap_jaccard_inbag,in-bag,
7,hierarchical,concat_hg,10,38,0.426,0.395,0.457,0.158,False,0.447,False,,True,0.289,True,False,100,hennig_bootstrap_jaccard_inbag,in-bag,
8,hierarchical,concat_hg,10,50,0.517,0.488,0.547,0.147,False,0.447,True,,True,0.18,True,False,100,hennig_bootstrap_jaccard_inbag,in-bag,
9,hierarchical,concat_hg,10,3,0.419,0.331,0.507,0.444,False,0.447,False,,True,1.0,False,False,100,hennig_bootstrap_jaccard_inbag,in-bag,
0,hierarchical,concat_hg_all,4,2075,0.742,0.719,0.764,0.112,True,0.458,True,,True,0.072,True,True,100,hennig_bootstrap_jaccard_inbag,in-bag,71.1
1,hierarchical,concat_hg_all,4,269,0.583,0.561,0.606,0.113,False,0.458,True,,True,0.312,True,False,100,hennig_bootstrap_jaccard_inbag,in-bag,2.6
2,hierarchical,concat_hg_all,4,165,0.595,0.563,0.627,0.162,False,0.458,True,,True,0.455,True,False,100,hennig_bootstrap_jaccard_inbag,in-bag,45.5
3,hierarchical,concat_hg_all,4,437,0.38,0.349,0.411,0.155,False,0.458,False,,True,0.162,True,False,100,hennig_bootstrap_jaccard_inbag,in-bag,27.7
0,hierarchical,concat_hg_all,7,236,0.53,0.507,0.554,0.119,False,0.4,True,,True,0.356,True,False,100,hennig_bootstrap_jaccard_inbag,in-bag,3.0
1,hierarchical,concat_hg_all,7,1012,0.419,0.397,0.441,0.112,False,0.4,False,,True,0.108,True,False,100,hennig_bootstrap_jaccard_inbag,in-bag,75.8
2,hierarchical,concat_hg_all,7,165,0.617,0.592,0.643,0.128,False,0.4,True,,True,0.455,True,False,100,hennig_bootstrap_jaccard_inbag,in-bag,45.5
3,hierarchical,concat_hg_all,7,106,0.397,0.346,0.448,0.256,False,0.4,False,,True,0.189,True,False,100,hennig_bootstrap_jaccard_inbag,in-bag,9.4
4,hierarchical,concat_hg_all,7,1063,0.516,0.5,0.531,0.079,False,0.4,True,,True,0.138,True,False,100,hennig_bootstrap_jaccard_inbag,in-bag,66.7
5,hierarchical,concat_hg_all,7,33,0.385,0.329,0.441,0.28,False,0.4,False,,True,1.0,False,False,100,hennig_bootstrap_jaccard_inbag,in-bag,0.0
6,hierarchical,concat_hg_all,7,331,0.384,0.358,0.411,0.133,False,0.4,False,,True,0.199,True,False,100,hennig_bootstrap_jaccard_inbag,in-bag,33.5
0,hierarchical,concat_hg_all,10,106,0.466,0.421,0.51,0.226,False,0.365,True,,True,0.189,True,False,100,hennig_bootstrap_jaccard_inbag,in-bag,9.4
1,hierarchical,concat_hg_all,10,1063,0.556,0.54,0.573,0.082,False,0.365,True,,True,0.138,True,False,100,hennig_bootstrap_jaccard_inbag,in-bag,66.7
2,hierarchical,concat_hg_all,10,62,0.428,0.386,0.47,0.213,False,0.365,True,,True,0.242,True,False,100,hennig_bootstrap_jaccard_inbag,in-bag,0.0
3,hierarchical,concat_hg_all,10,17,0.458,0.387,0.528,0.354,False,0.365,True,,True,0.706,False,False,100,hennig_bootstrap_jaccard_inbag,in-bag,0.0
4,hierarchical,concat_hg_all,10,588,0.33,0.313,0.347,0.087,False,0.365,False,,True,0.18,True,False,100,hennig_bootstrap_jaccard_inbag,in-bag,74.1
5,hierarchical,concat_hg_all,10,33,0.612,0.564,0.66,0.242,False,0.365,True,,True,1.0,False,False,100,hennig_bootstrap_jaccard_inbag,in-bag,0.0
6,hierarchical,concat_hg_all,10,331,0.396,0.371,0.421,0.128,False,0.365,True,,True,0.199,True,False,100,hennig_bootstrap_jaccard_inbag,in-bag,33.5
7,hierarchical,concat_hg_all,10,174,0.477,0.451,0.502,0.13,False,0.365,True,,True,0.397,True,False,100,hennig_bootstrap_jaccard_inbag,in-bag,4.0
8,hierarchical,concat_hg_all,10,148,0.578,0.556,0.601,0.114,False,0.365,True,,True,0.5,True,False,100,hennig_bootstrap_jaccard_inbag,in-bag,50.7
9,hierarchical,concat_hg_all,10,424,0.304,0.288,0.32,0.08,False,0.365,False,,True,0.222,True,False,100,hennig_bootstrap_jaccard_inbag,in-bag,78.1
