fig,title,section,dep,verdict,how,rel,date,committed,folder
,,The story so far,cohort,1 STALE - cohort,source: hand-drawn lab-meeting figures,04_FBM_Pooling/outputs/pooling/meeting_notes/fig05.png,2026-07-28,True,pooling/meeting_notes
,,3a — anatomical ROI,cohort,1 STALE - cohort,source: hand-drawn lab-meeting figures,04_FBM_Pooling/outputs/pooling/meeting_notes/fig06.png,2026-07-28,True,pooling/meeting_notes
,,3a — anatomical ROI,cohort,1 STALE - cohort,source: hand-drawn lab-meeting figures,04_FBM_Pooling/outputs/pooling/meeting_notes/fig07.png,2026-07-28,True,pooling/meeting_notes
,,3a — anatomical ROI,cohort,1 STALE - cohort,source: hand-drawn lab-meeting figures,04_FBM_Pooling/outputs/pooling/meeting_notes/fig08.png,2026-07-28,True,pooling/meeting_notes
,,3a — anatomical ROI,cohort,1 STALE - cohort,,04_FBM_Pooling/outputs/pooling/meeting_notes/fig09.png,2026-07-28,True,pooling/meeting_notes
FIG 4.2,Response timing across Neurosynth functional regions (HGA time course),Results,cohort,1 STALE - cohort,source: 480 neurosynth,04_FBM_Pooling/outputs/pooling/neurosynth/hga_timeseries.png,2026-08-03,True,pooling/neurosynth
FIG 4.3,Onset ordering — the quantified timing sequence,Results,cohort,1 STALE - cohort,,04_FBM_Pooling/outputs/pooling/neurosynth/region_onset_ordering.png,2026-07-28,True,pooling/neurosynth
FIG 4.5,Region × region timing similarity (Pearson r),Results,cohort,1 STALE - cohort,source: 480 neurosynth,04_FBM_Pooling/outputs/pooling/neurosynth/region_corr.png,2026-08-03,True,pooling/neurosynth
FIG 4.9,Can an electrode be assigned to ONE network?,3a — anatomical ROI (Fedorenko / LanA),cohort,1 STALE - cohort,,04_FBM_Pooling/outputs/pooling/neurosynth/attribution_matrix.png,2026-07-28,True,pooling/neurosynth
,Visual (picture),Results,cohort,1 STALE - cohort,"source: 460 pooling, pool_web",04_FBM_Pooling/outputs/pooling/pool_web/role_cards/visual_picture.png,2026-08-03,True,pooling/pool_web
,Premotor planning,Results,cohort,1 STALE - cohort,"source: 460 pooling, pool_web",04_FBM_Pooling/outputs/pooling/pool_web/role_cards/premotor planning.png,2026-08-03,True,pooling/pool_web
,Phonological,Results,cohort,1 STALE - cohort,"source: 460 pooling, pool_web",04_FBM_Pooling/outputs/pooling/pool_web/role_cards/phonological_encoding.png,2026-08-03,True,pooling/pool_web
,Motor,Results,cohort,1 STALE - cohort,"source: 460 pooling, pool_web",04_FBM_Pooling/outputs/pooling/pool_web/role_cards/motor.png,2026-08-03,True,pooling/pool_web
,NN,Results,cohort,1 STALE - cohort,"source: 460 pooling, pool_web",04_FBM_Pooling/outputs/pooling/pool_web/role_cards/NN.png,2026-08-03,True,pooling/pool_web
FIG 4.1,Response timing across functional roles (HGA time course),Results,cohort,1 STALE - cohort,"source: 460 pooling, pool_web",04_FBM_Pooling/outputs/pooling/pool_web/hga_timeseries.png,2026-08-03,True,pooling/pool_web
FIG 4.3,Onset ordering — the quantified timing sequence,Results,cohort,1 STALE - cohort,,04_FBM_Pooling/outputs/pooling/pool_web/role_onset_ordering.png,2026-07-28,True,pooling/pool_web
FIG 4.4,Role × role timing similarity (Pearson r),Results,cohort,1 STALE - cohort,"source: 460 pooling, pool_web",04_FBM_Pooling/outputs/pooling/pool_web/role_corr.png,2026-08-03,True,pooling/pool_web
FIG 4.6,Role templates on real ERSPs (representative contacts),Results,cohort,1 STALE - cohort,"source: 460 pooling, pool_web",04_FBM_Pooling/outputs/pooling/pool_web/role_cards/auditory.png,2026-08-03,True,pooling/pool_web
FIG 4.9,Can an electrode be assigned to ONE network?,3a — anatomical ROI (Fedorenko / LanA),cohort,1 STALE - cohort,,04_FBM_Pooling/outputs/pooling/pool_web/attribution_matrix.png,2026-07-28,True,pooling/pool_web
FIG 4.7,Functional roles on fsaverage,Results,cohort,1 STALE - cohort,source: roi/ds_map · 20260612_161539,04_FBM_Pooling/outputs/pooling/roi/ds_map/runs/20260612_161539/roi_map_full.png,2026-06-12,True,pooling/roi
,"G-01 reference contacts, ranked","G-01 &middot; PAT_5515 &mdash; clean, aligne",ersp,2 STALE - cubes,wm_check.py G-01,01_FBM_Analysis/outputs/microepi_status/me_G01_wm_ranking.png,2026-09-15,True,microepi_status/me_G01_wm_ranking.png
,G-01 micro&ndash;macro lag per window,"G-01 &middot; PAT_5515 &mdash; clean, aligne",ersp,2 STALE - cubes,micro_macro_xcorr_mat.py G-01,01_FBM_Analysis/outputs/microepi_status/me_G01_xcorr.png,2026-09-16,True,microepi_status/me_G01_xcorr.png
,G-02: the export against the true clock,G-02 &middot; PAT_5533 &mdash; clean referen,ersp,2 STALE - cubes,g02_sync_check.py,01_FBM_Analysis/outputs/microepi_status/me_G02_sync_check.png,2026-09-16,True,microepi_status/me_G02_sync_check.png
,"G-02 reference contacts, ranked",G-02 &middot; PAT_5533 &mdash; clean referen,ersp,2 STALE - cubes,wm_check.py G-02,01_FBM_Analysis/outputs/microepi_status/me_G02_wm_ranking.png,2026-09-15,True,microepi_status/me_G02_wm_ranking.png
,"G-03 reference contacts, ranked","G-03 &middot; PAT_6619 &mdash; audited, timi",ersp,2 STALE - cubes,wm_check.py G-03,01_FBM_Analysis/outputs/microepi_status/me_G03_wm_ranking.png,2026-09-15,True,microepi_status/me_G03_wm_ranking.png
,G-04 lag per sharp transient,G-04 &middot; PAT_6704 &mdash; one noise con,ersp,2 STALE - cubes,ied_lag.py G-04,01_FBM_Analysis/outputs/microepi_status/me_G04_ied_lag.png,2026-09-16,True,microepi_status/me_G04_ied_lag.png
,G-04: is the end-of-response burst in the reference?,G-04 &middot; PAT_6704 &mdash; one noise con,ersp,2 STALE - cubes,wm_check.py G-04,01_FBM_Analysis/outputs/microepi_status/me_G04_press.png,2026-09-15,True,microepi_status/me_G04_press.png
,"G-04 reference contacts, ranked",G-04 &middot; PAT_6704 &mdash; one noise con,ersp,2 STALE - cubes,wm_check.py G-04,01_FBM_Analysis/outputs/microepi_status/me_G04_wm_ranking.png,2026-09-15,True,microepi_status/me_G04_wm_ranking.png
,G-04 micro&ndash;macro lag per window,G-04 &middot; PAT_6704 &mdash; one noise con,ersp,2 STALE - cubes,micro_macro_xcorr_mat.py G-04,01_FBM_Analysis/outputs/microepi_status/me_G04_xcorr.png,2026-09-16,True,microepi_status/me_G04_xcorr.png
,G-06 lag per sharp transient,G-06 &middot; PAT_6854 &mdash; a noisy shaft,ersp,2 STALE - cubes,ied_lag.py G-06,01_FBM_Analysis/outputs/microepi_status/me_G06_ied_lag.png,2026-09-16,True,microepi_status/me_G06_ied_lag.png
,"G-06 reference contacts, ranked",G-06 &middot; PAT_6854 &mdash; a noisy shaft,ersp,2 STALE - cubes,wm_check.py G-06,01_FBM_Analysis/outputs/microepi_status/me_G06_wm_ranking.png,2026-09-15,True,microepi_status/me_G06_wm_ranking.png
,G-06 micro&ndash;macro lag per window,G-06 &middot; PAT_6854 &mdash; a noisy shaft,ersp,2 STALE - cubes,micro_macro_xcorr_mat.py G-06,01_FBM_Analysis/outputs/microepi_status/me_G06_xcorr.png,2026-09-16,True,microepi_status/me_G06_xcorr.png
,"What the sync looks like on both recorders (G-02, one code word)",How to read the checks,ersp,2 STALE - cubes,g02_burst_zoom.py,01_FBM_Analysis/outputs/microepi_status/me_sync_words.png,2026-09-16,True,microepi_status/me_sync_words.png
FIG 1.1,Example ERSP · PAT_6704 THD1 audio (run 2026-09-18),Checks — audit and review,ersp,3 current,04_ersp_LM/PAT_6704/LM/ERSP/audio/PAT_6704_audio_WM_ERSP_THD1_TN.png,01_FBM_Analysis/outputs/_status_png/s1_example_ersp.png,2026-09-23,True,_status_png/s1_example_ersp.png
FIG 1.2,HG trials · PAT_6704 THD1 audio (run 2026-09-18),Checks — audit and review,ersp,3 current,04_ersp_LM/PAT_6704/LM/HG/audio/PAT_6704_audio_WM_HGtrials_THD1.png,01_FBM_Analysis/outputs/_status_png/s1_example_hg.png,2026-09-23,True,_status_png/s1_example_hg.png
FIG 1.4,"PSD per shaft · PAT_6704 audio block, raw vs clean (run 2026-09-18)",Checks — audit and review,ersp,3 current,04_ersp_LM/PAT_6704/LM/PSD_raw|PSD_clean/audio/PSD/psd_by_shaft.png,01_FBM_Analysis/outputs/_status_png/s1_psd_clean.png,2026-09-23,True,_status_png/s1_psd_clean.png
FIG 1.4,"PSD per shaft · PAT_6704 audio block, raw vs clean (run 2026-09-18)",Checks — audit and review,ersp,3 current,04_ersp_LM/PAT_6704/LM/PSD_raw|PSD_clean/audio/PSD/psd_by_shaft.png,01_FBM_Analysis/outputs/_status_png/s1_psd_raw.png,2026-09-23,True,_status_png/s1_psd_raw.png
FIG 1.3,Trial gate · PAT_6704 audio (run 2026-09-18),Checks — audit and review,ersp,3 current,04_ersp_LM/PAT_6704/LM/Report/PAT_6704_audio_iqr_postDur_QC.png,01_FBM_Analysis/outputs/_status_png/s1_trials_iqr.png,2026-09-23,True,_status_png/s1_trials_iqr.png
FIG S.1,"concat_hg &mdash; the centroid, mean dB with &plusmn;1 SD","What this stage produces, one example of eac",cohort,3 current,cnmf/concat_hg/runs/20260924_021756 &middot; cluster_centroids/k_10/cluster_00.p,02_FBM_Clustering/outputs/clustering/cnmf/concat_hg/runs/20260924_021756/cluster_centroids/k_10/cluster_00.png,2026-09-24,True,clustering/cnmf
FIG S.2,"concat_hg &mdash; the raster, every electrode in the cluster","What this stage produces, one example of eac",cohort,3 current,cnmf/concat_hg/runs/20260924_021756 &middot; cluster_rasters/cluster_00.png,02_FBM_Clustering/outputs/clustering/cnmf/concat_hg/runs/20260924_021756/cluster_rasters/cluster_00.png,2026-09-24,True,clustering/cnmf
FIG S.3,"concat_rawds &mdash; the centroid, averaged ERSP with SD dots","What this stage produces, one example of eac",cohort,3 current,cnmf/concat_rawds/runs/20260924_022631 &middot; cluster_centroids/k_12/cluster_0,02_FBM_Clustering/outputs/clustering/cnmf/concat_rawds/runs/20260924_022631/cluster_centroids/k_12/cluster_00.png,2026-09-24,True,clustering/cnmf
FIG S.4,"concat_rawds &mdash; the same plane, with the SD legend","What this stage produces, one example of eac",cohort,3 current,cnmf/concat_rawds/runs/20260924_022631 &middot; cluster_rasters/cluster_00.png,02_FBM_Clustering/outputs/clustering/cnmf/concat_rawds/runs/20260924_022631/cluster_rasters/cluster_00.png,2026-09-24,True,clustering/cnmf
FIG C.12,"The same question, asked of every feature set",The plan — from five types to a graded decom,cohort,3 current,sources: newest run per method per feature set &middot; make_separation_across_f,02_FBM_Clustering/outputs/clustering/comparison/C12_separation_across_features.png,2026-09-24,True,clustering/comparison
FIG C.7,"Is the K=7 partition a separation? &mdash; yes, but only in its own sp",The plan — from five types to a graded decom,cohort,3 current,source: cnmf/concat_hg 20260818_112939 &middot; kmeans/concat_hg 20260817_171544,02_FBM_Clustering/outputs/clustering/comparison/C7_separation.png,2026-09-24,True,clustering/comparison
FIG C.11,Where each component lives &mdash; asking the question without a parti,The plan — from five types to a graded decom,cohort,3 current,"source: cnmf 20260818_112939 concat_hg, K=7 &middot; make_component_anatomy.py -",02_FBM_Clustering/outputs/clustering/component_anatomy/A1_component_anatomy.png,2026-09-24,True,clustering/component_anatomy
FIG C.3,The graded decomposition &mdash; convex NMF at K=7,The plan — from five types to a graded decom,cohort,3 current,source: kmeans/concat_hg &middot; 20260803_175417 &middot; notebooks 235 + 236 &,02_FBM_Clustering/outputs/clustering/decomposition/concat_hg/D3_graded_decomposition.png,2026-09-24,True,clustering/decomposition
FIG E.12,"unit length, loadings, argmax, and what the cohort actually looks like",What belonging to a cluster means,cohort,3 current,02_FBM_Clustering/outputs/clustering/explainers/E12_membership.png,02_FBM_Clustering/outputs/clustering/explainers/E12_membership.png,2026-09-24,True,clustering/explainers
FIG S.10,"Silhouette per cluster, at the published K","What this stage produces, one example of eac",cohort,3 current,kmeans/concat_hg/runs/20260924_014902 &middot; silhouette_per_cluster.png,02_FBM_Clustering/outputs/clustering/kmeans/concat_hg/runs/20260924_014902/silhouette_per_cluster.png,2026-09-24,True,clustering/kmeans
FIG S.11,Cluster similarity,"What this stage produces, one example of eac",cohort,3 current,kmeans/concat_hg/runs/20260924_014902 &middot; similarity_heatmap.png,02_FBM_Clustering/outputs/clustering/kmeans/concat_hg/runs/20260924_014902/similarity_heatmap.png,2026-09-24,True,clustering/kmeans
FIG S.12,Centroid distances,"What this stage produces, one example of eac",cohort,3 current,kmeans/concat_hg/runs/20260924_014902 &middot; centroid_distance_heatmap.png,02_FBM_Clustering/outputs/clustering/kmeans/concat_hg/runs/20260924_014902/centroid_distance_heatmap.png,2026-09-24,True,clustering/kmeans
FIG S.5,Where the cluster sits &mdash; glassbrain by condition,"What this stage produces, one example of eac",cohort,3 current,kmeans/concat_hg/runs/20260924_014902 &middot; recon/cluster_00/by_condition/lat,02_FBM_Clustering/outputs/clustering/kmeans/concat_hg/runs/20260924_014902/recon/cluster_00/by_condition/lateral_L.png,2026-09-24,True,clustering/kmeans
FIG S.6,"The same cluster, coloured by patient","What this stage produces, one example of eac",cohort,3 current,kmeans/concat_hg/runs/20260924_014902 &middot; recon/cluster_00/by_patient/later,02_FBM_Clustering/outputs/clustering/kmeans/concat_hg/runs/20260924_014902/recon/cluster_00/by_patient/lateral_L.png,2026-09-24,True,clustering/kmeans
FIG S.7,Every cluster of a run at once,"What this stage produces, one example of eac",cohort,3 current,kmeans/concat_hg/runs/20260924_014902 &middot; centroids.png,02_FBM_Clustering/outputs/clustering/kmeans/concat_hg/runs/20260924_014902/centroids.png,2026-09-24,True,clustering/kmeans
FIG S.8,"The K sweep &mdash; every K scored, not just the winner","What this stage produces, one example of eac",cohort,3 current,kmeans/concat_hg/runs/20260924_014902 &middot; sweep_metrics.png,02_FBM_Clustering/outputs/clustering/kmeans/concat_hg/runs/20260924_014902/sweep_metrics.png,2026-09-24,True,clustering/kmeans
FIG S.9,Silhouette across K,"What this stage produces, one example of eac",cohort,3 current,kmeans/concat_hg/runs/20260924_014902 &middot; silhouette_by_k.png,02_FBM_Clustering/outputs/clustering/kmeans/concat_hg/runs/20260924_014902/silhouette_by_k.png,2026-09-24,True,clustering/kmeans
FIG N.1,"What the numbers in a cube are made of, before any choice is made",What this stage does now &mdash; three algor,cohort,3 current,"make_normalisation_figures.py &middot; v8, concat_bands5",02_FBM_Clustering/outputs/clustering/normalisation/N1_what_the_numbers_are.png,2026-09-24,True,clustering/normalisation
FIG N.2,"The scorecard &mdash; eleven transforms, one partition each, scored on",What this stage does now &mdash; three algor,cohort,3 current,"make_normalisation_figures.py &middot; numbers in normalisation_scorecard.csv, p",02_FBM_Clustering/outputs/clustering/normalisation/N2_scorecard.png,2026-09-24,True,clustering/normalisation
FIG N.3,"Do extra clusters buy shape, or subdivide by magnitude? &mdash; the pu",What this stage does now &mdash; three algor,cohort,3 current,"make_normalisation_figures.py &middot; K = 2&hellip;14, k-means n_init=10, seed ",02_FBM_Clustering/outputs/clustering/normalisation/N3_magnitude_splitting.png,2026-09-24,True,clustering/normalisation
FIG N.4,Why &ldquo;variance explained vs K&rdquo; cannot choose K for a hard p,What this stage does now &mdash; three algor,cohort,3 current,"make_normalisation_figures.py &middot; bi-CV 3&times;3 folds, concat_bands5, v8 ",02_FBM_Clustering/outputs/clustering/normalisation/N4_why_no_peak.png,2026-09-24,True,clustering/normalisation
FIG N.5,The same electrode pairs before and after &mdash; what the scorecard n,What this stage does now &mdash; three algor,cohort,3 current,"make_normalisation_figures.py &middot; pairs chosen by cosine and norm ratio, no",02_FBM_Clustering/outputs/clustering/normalisation/N5_pairs_before_after.png,2026-09-24,True,clustering/normalisation
FIG N.6,The decision unit-norm does not make for you &mdash; elevation,What this stage does now &mdash; three algor,cohort,3 current,make_normalisation_figures.py &middot; the cluster with the lowest mean elevatio,02_FBM_Clustering/outputs/clustering/normalisation/N6_elevation_cluster.png,2026-09-24,True,clustering/normalisation
FIG 4 &middot; K=10,"cluster correspondence, hard weighting, K = 10",Paper 2 figures,cohort,3 current,02_FBM_Clustering/outputs/clustering/paper_figures/FIG4_K10_run20260924-021756.p,02_FBM_Clustering/outputs/clustering/paper_figures/FIG4_K10_run20260924-021756.png,2026-09-24,True,clustering/paper_figures
FIG 4 &middot; K=6,"cluster correspondence, hard weighting, K = 6",Paper 2 figures,cohort,3 current,02_FBM_Clustering/outputs/clustering/paper_figures/FIG4_K06_run20260924-021756.p,02_FBM_Clustering/outputs/clustering/paper_figures/FIG4_K06_run20260924-021756.png,2026-09-24,True,clustering/paper_figures
FIG 4 &middot; K=7,"cluster correspondence, hard weighting, K = 7",Paper 2 figures,cohort,3 current,02_FBM_Clustering/outputs/clustering/paper_figures/FIG4_K07_run20260924-021756.p,02_FBM_Clustering/outputs/clustering/paper_figures/FIG4_K07_run20260924-021756.png,2026-09-24,True,clustering/paper_figures
FIG 4 &middot; K=8,"cluster correspondence, hard weighting, K = 8",Paper 2 figures,cohort,3 current,02_FBM_Clustering/outputs/clustering/paper_figures/FIG4_K08_run20260924-021756.p,02_FBM_Clustering/outputs/clustering/paper_figures/FIG4_K08_run20260924-021756.png,2026-09-24,True,clustering/paper_figures
FIG 4 &middot; K=9,"cluster correspondence, hard weighting, K = 9",Paper 2 figures,cohort,3 current,02_FBM_Clustering/outputs/clustering/paper_figures/FIG4_K09_run20260924-021756.p,02_FBM_Clustering/outputs/clustering/paper_figures/FIG4_K09_run20260924-021756.png,2026-09-24,True,clustering/paper_figures
FIG 5 &middot; K by K,each solution against itself at another K,Paper 2 figures,cohort,3 current,02_FBM_Clustering/outputs/clustering/paper_figures/FIG5_KbyK_run20260924-021756.,02_FBM_Clustering/outputs/clustering/paper_figures/FIG5_KbyK_run20260924-021756.png,2026-09-24,True,clustering/paper_figures
FIG 5 &middot; K=10,"nine solutions against each other, K = 10",Paper 2 figures,cohort,3 current,02_FBM_Clustering/outputs/clustering/paper_figures/FIG5_K10_run20260924-021756.p,02_FBM_Clustering/outputs/clustering/paper_figures/FIG5_K10_run20260924-021756.png,2026-09-24,True,clustering/paper_figures
FIG 5 &middot; K=6,"nine solutions against each other, K = 6",Paper 2 figures,cohort,3 current,02_FBM_Clustering/outputs/clustering/paper_figures/FIG5_K06_run20260924-021756.p,02_FBM_Clustering/outputs/clustering/paper_figures/FIG5_K06_run20260924-021756.png,2026-09-24,True,clustering/paper_figures
FIG 5 &middot; K=7,"nine solutions against each other, K = 7",Paper 2 figures,cohort,3 current,02_FBM_Clustering/outputs/clustering/paper_figures/FIG5_K07_run20260924-021756.p,02_FBM_Clustering/outputs/clustering/paper_figures/FIG5_K07_run20260924-021756.png,2026-09-24,True,clustering/paper_figures
FIG 5 &middot; K=8,"nine solutions against each other, K = 8",Paper 2 figures,cohort,3 current,02_FBM_Clustering/outputs/clustering/paper_figures/FIG5_K08_run20260924-021756.p,02_FBM_Clustering/outputs/clustering/paper_figures/FIG5_K08_run20260924-021756.png,2026-09-24,True,clustering/paper_figures
FIG 5 &middot; K=9,"nine solutions against each other, K = 9",Paper 2 figures,cohort,3 current,02_FBM_Clustering/outputs/clustering/paper_figures/FIG5_K09_run20260924-021756.p,02_FBM_Clustering/outputs/clustering/paper_figures/FIG5_K09_run20260924-021756.png,2026-09-24,True,clustering/paper_figures
